FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-04-07,AMAZONAS,FEMENINO,1
2020-04-07,AMAZONAS,MASCULINO,3
2020-04-07,ANCASH,FEMENINO,12
2020-04-07,ANCASH,MASCULINO,13
2020-04-07,AREQUIPA,FEMENINO,1
2020-04-07,AREQUIPA,MASCULINO,3
2020-04-07,CAJAMARCA,MASCULINO,3
2020-04-07,CALLAO,FEMENINO,6
2020-04-07,CALLAO,MASCULINO,38
2020-04-07,HUANCAVELICA,FEMENINO,1
2020-04-07,HUANUCO,FEMENINO,2
2020-04-07,ICA,FEMENINO,4
2020-04-07,ICA,MASCULINO,5
2020-04-07,JUNIN,FEMENINO,9
2020-04-07,JUNIN,MASCULINO,4
2020-04-07,LA LIBERTAD,FEMENINO,8
2020-04-07,LA LIBERTAD,MASCULINO,11
2020-04-07,LAMBAYEQUE,FEMENINO,57
2020-04-07,LAMBAYEQUE,MASCULINO,93
2020-04-07,LIMA,FEMENINO,241
2020-04-07,LIMA,MASCULINO,368
2020-04-07,LORETO,FEMENINO,43
2020-04-07,LORETO,MASCULINO,55
2020-04-07,PIURA,FEMENINO,5
2020-04-07,PIURA,MASCULINO,6
2020-04-07,SAN MARTIN,FEMENINO,3
2020-04-07,TACNA,MASCULINO,1
2020-04-07,TUMBES,FEMENINO,4
2020-04-07,UCAYALI,FEMENINO,1
2020-04-08,AMAZONAS,FEMENINO,3
2020-04-08,AMAZONAS,MASCULINO,2
2020-04-08,ANCASH,FEMENINO,6
2020-04-08,ANCASH,MASCULINO,4
2020-04-08,AREQUIPA,FEMENINO,1
2020-04-08,AREQUIPA,MASCULINO,4
2020-04-08,AYACUCHO,MASCULINO,3
2020-04-08,CAJAMARCA,FEMENINO,1
2020-04-08,CAJAMARCA,MASCULINO,2
2020-04-08,CALLAO,FEMENINO,22
2020-04-08,CALLAO,MASCULINO,92
2020-04-08,CUSCO,MASCULINO,3
2020-04-08,HUANUCO,FEMENINO,5
2020-04-08,ICA,FEMENINO,5
2020-04-08,ICA,MASCULINO,4
2020-04-08,JUNIN,FEMENINO,2
2020-04-08,LA LIBERTAD,FEMENINO,6
2020-04-08,LA LIBERTAD,MASCULINO,15
2020-04-08,LAMBAYEQUE,FEMENINO,28
2020-04-08,LAMBAYEQUE,MASCULINO,45
2020-04-08,LIMA,FEMENINO,219
2020-04-08,LIMA,MASCULINO,449
2020-04-08,LORETO,FEMENINO,43
2020-04-08,LORETO,MASCULINO,24
2020-04-08,MADRE DE DIOS,FEMENINO,1
2020-04-08,MOQUEGUA,FEMENINO,1
2020-04-08,PIURA,FEMENINO,6
2020-04-08,PIURA,MASCULINO,15
2020-04-08,SAN MARTIN,FEMENINO,1
2020-04-08,SAN MARTIN,MASCULINO,3
2020-04-08,TUMBES,FEMENINO,10
2020-04-08,TUMBES,MASCULINO,5
2020-04-09,AMAZONAS,FEMENINO,1
2020-04-09,AMAZONAS,MASCULINO,4
2020-04-09,ANCASH,FEMENINO,4
2020-04-09,ANCASH,MASCULINO,8
2020-04-09,APURIMAC,MASCULINO,2
2020-04-09,AREQUIPA,FEMENINO,3
2020-04-09,AREQUIPA,MASCULINO,3
2020-04-09,AYACUCHO,MASCULINO,2
2020-04-09,CAJAMARCA,FEMENINO,4
2020-04-09,CAJAMARCA,MASCULINO,2
