FECHA_FALLECIMIENTO,DEPARTAMENTO,SEXO,defunciones
2020-04-13,PIURA,FEMENINO,4
2020-04-13,TUMBES,FEMENINO,2
2020-04-14,ANCASH,MASCULINO,1
2020-04-14,ANCASH,FEMENINO,4
2020-04-14,CALLAO,MASCULINO,13
2020-04-14,CALLAO,FEMENINO,4
2020-04-14,ICA,MASCULINO,5
2020-04-14,ICA,FEMENINO,3
2020-04-14,JUNIN,MASCULINO,2
2020-04-14,JUNIN,FEMENINO,1
2020-04-14,LA LIBERTAD,MASCULINO,3
2020-04-14,LA LIBERTAD,FEMENINO,1
2020-04-14,LAMBAYEQUE,MASCULINO,8
2020-04-14,LAMBAYEQUE,FEMENINO,5
2020-04-14,LIMA,MASCULINO,60
2020-04-14,LIMA,FEMENINO,25
2020-04-14,LORETO,MASCULINO,3
2020-04-14,LORETO,FEMENINO,2
2020-04-14,PIURA,MASCULINO,6
2020-04-14,PIURA,FEMENINO,1
2020-04-14,PUNO,MASCULINO,1
2020-04-15,ANCASH,MASCULINO,4
2020-04-15,AREQUIPA,MASCULINO,1
2020-04-15,AREQUIPA,FEMENINO,1
2020-04-15,CAJAMARCA,MASCULINO,1
2020-04-15,CALLAO,MASCULINO,4
2020-04-15,CALLAO,FEMENINO,3
2020-04-15,ICA,FEMENINO,1
2020-04-15,LA LIBERTAD,MASCULINO,1
2020-04-15,LA LIBERTAD,FEMENINO,2
2020-04-15,LAMBAYEQUE,MASCULINO,9
2020-04-15,LAMBAYEQUE,FEMENINO,12
2020-04-15,LIMA,MASCULINO,50
2020-04-15,LIMA,FEMENINO,24
2020-04-15,LORETO,MASCULINO,3
2020-04-15,LORETO,FEMENINO,1
2020-04-15,PIURA,MASCULINO,7
2020-04-15,PIURA,FEMENINO,4
2020-04-15,TUMBES,MASCULINO,1
2020-04-15,UCAYALI,MASCULINO,1
2020-04-15,UCAYALI,FEMENINO,2
2020-04-16,ANCASH,MASCULINO,1
2020-04-16,ANCASH,FEMENINO,3
2020-04-16,AYACUCHO,MASCULINO,1
2020-04-16,CAJAMARCA,FEMENINO,1
2020-04-16,CALLAO,MASCULINO,10
2020-04-16,ICA,MASCULINO,5
2020-04-16,ICA,FEMENINO,1
2020-04-16,JUNIN,MASCULINO,1
2020-04-16,LA LIBERTAD,FEMENINO,2
2020-04-16,LAMBAYEQUE,MASCULINO,10
2020-04-16,LAMBAYEQUE,FEMENINO,11
2020-04-16,LIMA,MASCULINO,69
2020-04-16,LIMA,FEMENINO,22
2020-04-16,LORETO,MASCULINO,2
2020-04-16,LORETO,FEMENINO,1
2020-04-16,PIURA,MASCULINO,6
2020-04-16,PIURA,FEMENINO,6
2020-04-16,UCAYALI,MASCULINO,4
2020-04-16,UCAYALI,FEMENINO,1
2020-04-17,ANCASH,MASCULINO,1
2020-04-17,AYACUCHO,MASCULINO,1
2020-04-17,CALLAO,MASCULINO,7
